Module,Sub-Module,Topic,Number,Spec-Point,Learning-Outcome,,,,
Foundations in biology,Foundations in biology,Cell structure,2.1.1,a,The use of microscopy to observe and investigate different types of cell and cell structure in a range of eukaryotic organisms,,,,
Foundations in biology,Foundations in biology,Cell structure,2.1.1,b,The preparation and examination of microscope slides for use in light microscopy,,,,
Foundations in biology,Foundations in biology,Cell structure,2.1.1,c,The use of staining in light microscopy,,,,
Foundations in biology,Foundations in biology,Cell structure,2.1.1,d,The representation of cell structure as seen under the light microscope using drawings and annotated diagrams of whole cells or cells in sections of tissue,,,,
Foundations in biology,Foundations in biology,Cell structure,2.1.1,e,The use and manipulation of the magnification formula,,,,
Foundations in biology,Foundations in biology,Cell structure,2.1.1,f,The difference between magnification and resolution,,,,
Foundations in biology,Foundations in biology,Cell structure,2.1.1,g,The ultrastructure of eukaryotic cells and the functions of the different cellular components,,,,
Foundations in biology,Foundations in biology,Cell structure,2.1.1,i,Photomicrographs of cellular components in a range of eukaryotic cells,,,,
Foundations in biology,Foundations in biology,Cell structure,2.1.1,j,The interrelationship between the organelles involved in the production and secretion of proteins,,,,
Foundations in biology,Foundations in biology,Cell structure,2.1.1,k,The similarities and differences in the structure and ultrastructure of prokaryotic and eukaryotic cells.,,,,
Foundations in biology,Foundations in biology,Biological molecules,2.1.2,a,How hydrogen bonding occurs between water molecules and relate this, and other properties of water, to the roles of water for living organisms,
Foundations in biology,Foundations in biology,Biological molecules,2.1.2,b,The concept of monomers and polymers and the importance of condensation and hydrolysis reactions in a range of biological molecules,,,,
Foundations in biology,Foundations in biology,Biological molecules,2.1.2,c,The chemical elements that make up biological molecules,,,,
Foundations in biology,Foundations in biology,Biological molecules,2.1.2,d,The ring structure and properties of glucose as an example of a hexose monosaccharide and the structure of ribose as an example of a pentose monosaccharide,,,,
Foundations in biology,Foundations in biology,Biological molecules,2.1.2,e,The synthesis and breakdown of a disaccharide and polysaccharide by the formation and breakage of glycosidic bonds,,,,
Foundations in biology,Foundations in biology,Biological molecules,2.1.2,f,The structure of starch (amylose and amylopectin) glycogen and cellulose molecules,,,
Foundations in biology,Foundations in biology,Biological molecules,2.1.2,g,How the structures and properties of glucose starch glycogen and cellulose molecules relate to their functions in living organisms,,
Foundations in biology,Foundations in biology,Biological molecules,2.1.2,h,The structure of a triglyceride and a phospholipid as examples of macromolecules,,,,
Foundations in biology,Foundations in biology,Biological molecules,2.1.2,i,The synthesis and breakdown of triglycerides by the formation and breakage of ester bonds between fatty acids and glycerol,,,,
Foundations in biology,Foundations in biology,Biological molecules,2.1.2,j,How the properties of triglyceride phospholipid and cholesterol molecules relate to their functions in living organisms,,,
Foundations in biology,Foundations in biology,Biological molecules,2.1.2,k,The general structure of an amino acid,,,,
Foundations in biology,Foundations in biology,Biological molecules,2.1.2,l,The synthesis and breakdown of dipeptides and polypeptides by the formation and breakage of peptide bonds,,,
Foundations in biology,Foundations in biology,Biological molecules,2.1.2,m,The levels of protein structure,,,,
Foundations in biology,Foundations in biology,Biological molecules,2.1.2,n,The structure and function of globular proteins including a conjugated protein,,,,
Foundations in biology,Foundations in biology,Biological molecules,2.1.2,o,The properties and functions of fibrous proteins,,,,
Foundations in biology,Foundations in biology,Biological molecules,2.1.2,p,The key inorganic ions that are involved in biological processes,,,,
Foundations in biology,Foundations in biology,Biological molecules,2.1.2,q,How to carry out and interpret the results of the following chemical tests: - Biuret test for proteins - Benedicts test for reducing and non-reducing sugars - iodine test for starch - emulsion test for lipids,,,,
Foundations in biology,Foundations in biology,Biological molecules,2.1.2,r,Quantitative methods to determine the concentration of a chemical substance in a solution,,,,
Foundations in biology,Foundations in biology,Biological molecules,2.1.2,s ,[i]     the principles and uses of paper and thin layer chromatography to separate biological molecules / compounds [ii]    practical investigations to analyse biological solutions using paper or thin layer chromatography,,,,
Foundations in biology,Foundations in biology,Nucleotides and nucleic acids,2.1.3,a,The structure of a nucleotide as the monomer from which nucleic acids are made,,,,
Foundations in biology,Foundations in biology,Nucleotides and nucleic acids,2.1.3,b,The synthesis and breakdown of polynucleotides by the formation and breakage of phosphodiester bonds,,,,
Foundations in biology,Foundations in biology,Nucleotides and nucleic acids,2.1.3,c,The structure of ADP and ATP as phosphorylated nucleotides,,,,
Foundations in biology,Foundations in biology,Nucleotides and nucleic acids,2.1.3,d,[i]     the structure of DNA (deoxyribonucleic acid) [ii]    practical investigations into the purification of DNA by precipitation,,,,
Foundations in biology,Foundations in biology,Nucleotides and nucleic acids,2.1.3,e,Semi-conservative DNA replication,,,,
Foundations in biology,Foundations in biology,Nucleotides and nucleic acids,2.1.3,f,The nature of the genetic code,,,,
Foundations in biology,Foundations in biology,Nucleotides and nucleic acids,2.1.3,g,Transcription and translation of genes resulting in the synthesis of polypeptides.,,,,
Foundations in biology,Foundations in biology,Enzymes,2.1.4,a,The role of enzymes in catalysing reactions that affect metabolism at a cellular and whole organism level,,,,
Foundations in biology,Foundations in biology,Enzymes,2.1.4,b,The role of enzymes in catalysing both intracellular and extracellular reactions,,,,
Foundations in biology,Foundations in biology,Enzymes,2.1.4,c,The mechanism of enzyme action,,,,
Foundations in biology,Foundations in biology,Enzymes,2.1.4,d,[i]     the effects of pH temperature enzyme concentration and substrate concentration on enzyme active site [ii]    practical investigations into the effects of pH, temperature, enzyme concentration and substrate concentration on enzyme activity
Foundations in biology,Foundations in biology,Enzymes,2.1.4,e,The need for coenzymes and cofactors in some enzyme-controlled reactions,,,,
Foundations in biology,Foundations in biology,Enzymes,2.1.4,f,The effects of inhibitors on the rate of enzyme-controlled reactions.,,,,
